TIP,CLANOV,OTROK,DOHODEK,CETRT,IZOBRAZBA
1,5,0,23620,1,40
1,3,0,44300,1,45
1,2,1,7080,1,39
1,2,0,95460,1,39
3,5,0,25570,1,41
1,2,0,76170,1,38
1,2,3,17775,1,43
1,4,0,43300,1,39
3,4,0,83800,1,43
1,2,0,91330,1,34
3,3,0,51987,1,39
3,3,1,7200,1,40
1,4,2,16126,1,44
3,5,1,10000,1,39
1,7,0,91350,1,35
1,5,0,100933,1,39
1,2,0,188099,1,43
3,3,0,28000,1,39
3,4,0,50240,1,39
1,5,0,108900,1,39
1,2,2,7356,1,39
1,5,0,50247,1,34
3,4,1,95884,1,39
1,3,0,39601,1,39
3,4,0,69775,1,40
1,2,1,64500,1,40
3,2,2,11912,1,43
1,2,2,24764,1,40
1,2,1,25460,1,44
1,2,2,16096,1,40
1,4,0,28000,1,39
1,2,0,41074,1,39
1,4,1,35700,1,32
3,3,1,24254,1,39
1,3,0,101999,1,40
3,2,2,52650,1,39
3,3,0,46000,1,43
1,3,2,50000,1,39
1,5,0,20150,1,39
1,2,2,31880,1,43
2,4,0,8496,1,39
1,2,3,73500,1,41
3,3,2,5088,1,34
1,2,1,106052,1,34
1,4,3,99090,1,39
3,2,0,36186,1,43
1,2,0,17640,1,39
1,2,0,41280,1,36
2,3,2,5184,1,39
1,3,1,42170,1,44
3,2,0,6300,1,39
3,11,1,22832,1,39
3,4,0,79050,1,44
1,4,0,12200,1,33
1,4,0,15000,1,43
1,2,2,68783,1,40
1,2,0,2834,1,37
3,2,0,16486,1,37
3,3,0,15000,1,39
3,3,2,168926,1,44
1,2,0,19145,1,32
1,2,0,55100,1,39
1,2,0,94300,1,39
1,2,0,20024,1,39
1,2,0,149800,1,40
1,2,1,11977,1,39
1,2,0,71100,1,37
1,4,2,101199,1,37
1,2,0,160999,1,33
1,2,0,44200,1,40
1,5,0,64080,1,37
1,2,0,59000,1,33
1,6,0,60219,1,42
1,4,0,72490,1,40
3,3,3,60718,1,44
1,2,0,8394,1,43
1,3,0,30500,1,39
1,4,0,27398,1,43
1,2,0,47584,1,34
1,4,0,66025,1,44
1,4,0,32025,1,40
3,5,0,17408,1,40
1,4,0,62000,1,35
1,3,0,46077,1,39
1,2,4,107952,1,43
3,2,1,16680,1,39
3,2,0,120250,1,35
1,2,2,24600,1,43
3,4,0,39364,1,39
