rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
1,#area5114,Fullmetal Alchemist: Brotherhood,TV,64,2009,1327051,9.2
2,#area32281,Kimi no Na wa.,Movie,1,2016,866945,9.1
3,#area9253,Steins;Gate,TV,24,2011,1116166,9.1
4,#area28977,Gintama°,TV,51,2015,226008,9.1
5,#area11061,Hunter x Hunter (2011),TV,148,2011,818148,9.1
6,#area820,Ginga Eiyuu Densetsu,OVA,110,1988,140128,9.1
7,#area9969,Gintama&#039;,TV,51,2011,235640,9.1
8,#area35180,3-gatsu no Lion 2nd Season,TV,22,2017,114343,9.0
9,#area15417,Gintama&#039;: Enchousen,TV,13,2012,137790,9.0
10,#area28851,Koe no Katachi,Movie,1,2016,621825,9.0
11,#area15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,2013,115581,9.0
12,#area4181,Clannad: After Story,TV,24,2008,650960,9.0
13,#area918,Gintama,TV,201,2006,498314,9.0
14,#area34096,Gintama.,TV,12,2017,107855,9.0
15,#area35247,Owarimonogatari 2nd Season,TV,7,2017,141174,9.0
16,#area32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,2016,295729,8.9
17,#area2904,Code Geass: Hangyaku no Lelouch R2,TV,25,2008,856010,8.9
18,#area199,Sen to Chihiro no Kamikakushi,Movie,1,2001,776195,8.9
19,#area34599,Made in Abyss,TV,13,2017,419992,8.8
20,#area23273,Shigatsu wa Kimi no Uso,TV,22,2014,807181,8.8
21,#area28891,Haikyuu!! Second Season,TV,25,2015,380517,8.8
22,#area31758,Kizumonogatari III: Reiketsu-hen,Movie,1,2017,159364,8.8
23,#area33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,2017,86249,8.8
24,#area37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,2018,40008,8.8
25,#area36838,Gintama.: Shirogane no Tamashii-hen,TV,12,2018,57721,8.8
26,#area1,Cowboy Bebop,TV,26,1998,782426,8.8
27,#area37991,JoJo no Kimyou na Bouken: Ougon no Kaze,TV,39,2018,101227,8.8
28,#area24701,Mushishi Zoku Shou 2nd Season,TV,10,2014,131321,8.8
29,#area263,Hajime no Ippo,TV,75,2000,253279,8.7
30,#area164,Mononoke Hime,Movie,1,1997,559548,8.7
31,#area1575,Code Geass: Hangyaku no Lelouch,TV,25,2006,1066207,8.7
32,#area44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,1999,178868,8.7
33,#area17074,Monogatari Series: Second Season,TV,26,2013,336334,8.7
34,#area21939,Mushishi Zoku Shou,TV,10,2014,159279,8.7
35,#area12355,Ookami Kodomo no Ame to Yuki,Movie,1,2012,395540,8.7
36,#area245,Great Teacher Onizuka,TV,43,1999,391454,8.7
37,#area457,Mushishi,TV,26,2005,440941,8.7
38,#area2001,Tengen Toppa Gurren Lagann,TV,27,2007,855664,8.7
39,#area33486,Boku no Hero Academia 2nd Season,TV,25,2017,739427,8.7
40,#area5258,Hajime no Ippo: New Challenger,TV,26,2009,137941,8.7
41,#area431,Howl no Ugoku Shiro,Movie,1,2004,526852,8.7
42,#area34591,Natsume Yuujinchou Roku,TV,11,2017,78936,8.7
43,#area36098,Kimi no Suizou wo Tabetai,Movie,1,2018,45042,8.7
44,#area11665,Natsume Yuujinchou Shi,TV,13,2012,141996,8.7
45,#area30276,One Punch Man,TV,12,2015,1160132,8.7
46,#area7311,Suzumiya Haruhi no Shoushitsu,Movie,1,2010,349391,8.7
47,#area36456,Boku no Hero Academia 3rd Season,TV,25,2018,498348,8.7
48,#area19,Monster,TV,74,2004,388481,8.6
49,#area28957,Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,2015,63020,8.6
50,#area31757,Kizumonogatari II: Nekketsu-hen,Movie,1,2016,164476,8.6
51,#area37208,Mo Dao Zu Shi,ONA,15,2018,27418,8.6
52,#area37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,2018,237167,8.6
53,#area1535,Death Note,TV,37,2006,1582700,8.6
54,#area34612,Saiki Kusuo no Ψ-nan 2,TV,24,2018,107950,8.6
55,#area12365,Bakuman. 3rd Season,TV,25,2012,197403,8.6
56,#area20583,Haikyuu!!,TV,25,2014,543119,8.6
57,#area19647,Hajime no Ippo: Rising,TV,25,2013,114417,8.6
58,#area7785,Yojouhan Shinwa Taikei,TV,11,2010,203746,8.6
59,#area30654,Ansatsu Kyoushitsu 2nd Season,TV,25,2016,444553,8.6
60,#area11741,Fate/Zero 2nd Season,TV,12,2012,543774,8.6
61,#area31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,2016,225927,8.6
62,#area10379,Natsume Yuujinchou San,TV,13,2011,148919,8.6
63,#area33674,No Game No Life: Zero,Movie,1,2017,294828,8.6
64,#area22135,Ping Pong the Animation,TV,11,2014,163629,8.6
65,#area30484,Steins;Gate 0,TV,23,2018,320577,8.6
66,#area2921,Ashita no Joe 2,TV,47,1980,15419,8.6
67,#area21329,Mushishi Special: Hihamukage,Special,1,2014,73767,8.6
68,#area32983,Natsume Yuujinchou Go,TV,11,2016,89851,8.6
69,#area28735,Shouwa Genroku Rakugo Shinjuu,TV,13,2016,155576,8.6
70,#area4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,1,2009,123888,8.6
71,#area4282,Kara no Kyoukai 5: Mujun Rasen,Movie,1,2008,148129,8.6
72,#area35839,Sora yori mo Tooi Basho,TV,13,2018,156329,8.6
73,#area5300,Zoku Natsume Yuujinchou,TV,13,2009,156252,8.6
74,#area36259,Pingu in the City,TV,26,2017,26009,8.5
75,#area33352,Violet Evergarden,TV,13,2018,445197,8.5
76,#area3297,Aria The Origination,TV,13,2008,75640,8.5
77,#area6114,Rainbow: Nisha Rokubou no Shichinin,TV,26,2010,214256,8.5
78,#area35843,Gintama.: Porori-hen,TV,13,2017,66059,8.5
79,#area35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,2018,66467,8.5
